,Turkey Melt,,Dinner Sandwiches,,,9,,,,,N,Y
,Burger-Cheeseburger,,Dinner Sandwiches,,,9,,,,,N,Y
,Burger-Sriracha,,Dinner Sandwiches,,,10.5,,,,,N,Y
,Burger-Hamburger,,Dinner Sandwiches,,,9,,,,,N,Y
,BLT,,Dinner Sandwiches,,,8,,,,,N,Y
,Grilled Veggie Melt,,Dinner Sandwiches,,,8,,,,,N,Y
,Blackened Chicken Sandwich,,Dinner Sandwiches,,,11,,,,,N,Y
,Add Bacon $1,,Dinner Sandwiches,,,1,,,,,N,Y
,Club Sandwich (Junebug),,Dinner Sandwiches,,,11,,,,,N,Y
,4oz Ribeye Steak Sandwich,,Dinner Sandwiches,,,11,,,,,N,Y
,Philly - Chicken,,Dinner Sandwiches,,,10,,,,,N,Y
,Philly - Steak,,Dinner Sandwiches,,,10,,,,,N,Y
,Burger-Black and Bleu,,Dinner Sandwiches,,,10.5,,,,,N,Y
,BBQ,,Dinner Sandwiches,,,10,,,,,N,Y
,$1 Premium Side,,Dinner Sandwiches,,,1,,,,,N,Y
,Add Bleu Cheese $1,,Dinner Sandwiches,,,1,,,,,N,Y
,Burger-BBQ Bacon,,Dinner Sandwiches,,,10.5,,,,,N,Y
,Black Bean Burger,,Dinner Sandwiches,,,8.5,,,,,N,Y
,Fuzzy Navel,,Alcohol - Cocktails,,,6,,,,,N,N
,Hairy Navel,,Alcohol - Cocktails,,,7,,,,,N,N
,Margarita-House,,Alcohol - Cocktails,,,6,,,,,N,N
,Margarita-Top Shelf,,Alcohol - Cocktails,,,9,,,,,N,N
,Royal Flush,,Alcohol - Cocktails,,,6,,,,,N,N
,Long Island-House,,Alcohol - Cocktails,,,6,,,,,N,N
,Long Island-Top Shelf,,Alcohol - Cocktails,,,9,,,,,N,N
,Pineapple Upside Down,,Alcohol - Cocktails,,,6.5,,,,,N,N
,Candy Apple Martini,,Alcohol - Cocktails,,,7,,,,,N,N
,Manhattan-Perfect,,Alcohol - Cocktails,,,8.5,,,,,N,N
,Old-Fashioned,,Alcohol - Cocktails,,,9,,,,,N,N
,Cosmo,,Alcohol - Cocktails,,,7,,,,,N,N
,Cosmo-Pomegranate,,Alcohol - Cocktails,,,8,,,,,N,N
,Margarita-Pom/Razz/Peach,,Alcohol - Cocktails,,,8,,,,,N,N
,Creamsicle,,Alcohol - Cocktails,,,8,,,,,N,N
,Key Lime Pie,,Alcohol - Cocktails,,,8,,,,,N,N
,Chocolate Silk Pie,,Alcohol - Cocktails,,,9,,,,,N,N
,Amaretto Sour,,Alcohol - Cocktails,,,6,,,,,N,N
,Liquid Marijuana,,Alcohol - Cocktails,,,7,,,,,N,N
